-4.9800, -5.0398, -3.5865, -2.0398, -1
-5.4327, -5.4427, -0.5959, -0.4427, -1
-5.8855, -5.9180, -1.9504, -1.9180, -1
-6.3382, -6.3353, 0.1757, -1.3353, -1
-6.7909, -6.7857, 0.3102, -1.7857, -1
-7.2436, -7.2073, 2.1776, -0.2073, -1
-7.6964, -7.6689, 1.6502, -1.6689, -1
-8.1491, -8.1417, 0.4419, -2.1417, -1
-8.6018, -8.5857, 0.9676, 1.4143, -1
-9.0545, -9.0697, -0.9122, -2.0697, -1
-9.5073, -9.5317, -1.4632, 1.4683, -1
-9.9600, -9.8557, 6.2586, 0.1443, -1
-10.4127, -10.4582, -2.7304, 1.5418, -1
-10.8655, -10.9434, -4.6793, 0.0566, -1
-11.3182, -11.3607, -2.5521, 1.6393, -1
-11.7709, -11.7881, -1.0303, 0.2119, -1
-12.2236, -12.2518, -1.6899, 1.7482, -1
-12.6764, -12.7054, -1.7443, 1.2946, -1
-13.1291, -13.2542, -7.5080, -0.2542, -1
-13.5818, -13.6033, -1.2906, 1.3967, -1
-14.0345, -14.0026, 1.9153, -2.0026, -1
-14.4873, -14.4324, 3.2904, 0.5676, -1
-14.9400, -14.9434, -0.2066, 0.0566, -1
-15.3927, -15.3727, 1.2022, 1.6273, -1
-15.8455, -15.8212, 1.4523, 0.1788, -1
-16.2982, -16.2874, 0.6465, 1.7126, -1
-16.7509, -16.7195, 1.8852, 0.2805, -1
-17.2036, -17.1557, 2.8757, 2.8443, -1
-17.6564, -17.6087, 2.8583, 1.3913, -1
-18.1091, -18.1696, -3.6289, -0.1696, -1
-18.5618, -18.4999, 3.7164, 1.5001, -1
-19.0145, -18.8779, 8.2002, 0.1221, -1
-19.4673, -19.4144, 3.1704, 1.5856, -1
-19.9200, -19.8347, 5.1158, 0.1653, -1
-20.3727, -20.3600, 0.7633, 1.6400, -1
-20.8255, -20.7968, 1.7189, 0.2032, -1
-21.2782, -21.2816, -0.2078, 1.7184, -1
-21.7309, -21.7368, -0.3542, 0.2632, -1
-22.1836, -22.1610, 1.3554, 2.8390, -1
-22.6364, -22.5922, 2.6477, 0.4078, -1
-23.0891, -23.1696, -4.8289, -0.1696, -1
-23.5418, -23.4877, 3.2498, 1.5123, -1
-23.9945, -23.8845, 6.6021, 0.1155, -1
-24.4473, -24.3787, 4.1153, 1.6213, -1
-24.9000, -24.7892, 6.6500, 0.2108, -1
-25.3527, -25.3107, 2.5207, 1.6893, -1
-25.8055, -25.7906, 0.8895, 0.2094, -1
-26.2582, -26.2412, 1.0170, 2.7588, -1
-26.7109, -26.6611, 2.9908, 0.3389, -1
-27.1636, -27.2149, -3.0744, -0.2149, -1
-27.6164, -27.6079, 0.5102, 1.3921, -1
-28.0691, -28.1696, -6.0289, -0.1696, -1
-28.5218, -28.4945, 1.6403, 1.5055, -1
-28.9745, -28.9434, 1.8662, 0.0566, -1
-29.4273, -29.3836, 2.6195, 1.6164, -1
-29.8800, -29.8245, 3.3271, 0.1755, -1
-30.3327, -30.2991, 2.0153, 1.7009, -1
-30.7855, -30.7579, 1.6533, 0.2421, -1
-31.2382, -31.2179, 1.2186, 1.7821, -1
-31.6909, -31.6622, 1.7200, 1.3378, -1
-32.1436, -32.1930, -2.9591, -0.1930, -1
-32.5964, -32.5845, 0.7109, 0.4155, -1
-33.0491, -33.1696, -7.2289, -0.1696, -1
-33.5018, -33.5047, -0.1727, 1.4953, -1
-33.9545, -33.9327, 1.3127, 0.0673, -1
-34.4073, -34.3944, 0.7723, 1.6056, -1
-34.8600, -34.8342, 1.5475, 0.1658, -1
-35.3127, -35.2852, 1.6536, 1.7148, -1
-35.7655, -35.7272, 2.2965, 0.2728, -1
-36.2182, -36.1903, 1.6728, 1.8097, -1
-36.6709, -36.6358, 2.1051, 0.3642, -1
-37.1236, -37.1153, 0.5011, -1.1153, -1
-37.5764, -37.5485, 1.6705, 0.4515, -1
-38.0291, -37.9434, 5.1389, 0.0566, -1
-38.4818, -38.4590, 1.3696, 1.5410, -1
-38.9345, -38.8918, 2.5630, 0.1082, -1
-39.3873, -39.3695, 1.0668, 1.6305, -1
-39.8400, -39.7985, 2.4889, 0.2015, -1
-40.2927, -40.2921, 0.0397, 1.7079, -1
-40.7455, -40.7395, 0.3585, 0.2605, -1
-41.1982, -41.1913, 0.4149, 2.8087, -1
-41.6509, -41.6501, 0.0469, 0.3499, -1
-42.1036, -42.1696, -3.9562, -0.1696, -1
-42.5564, -42.5296, 1.6047, 1.4704, -1
-43.0091, -42.9434, 3.9389, 0.0566, -1
-43.4618, -43.4292, 1.9597, 1.5708, -1
-43.9145, -43.8867, 1.6692, 0.1133, -1
-44.3673, -44.3436, 1.4231, 1.6564, -1
-44.8200, -44.7833, 2.2004, 0.2167, -1
-45.2727, -45.2494, 1.4022, 1.7506, -1
-45.7255, -45.6912, 2.0543, 1.3088, -1
-46.1782, -46.1573, 1.2501, 0.8427, -1
-46.6309, -46.6023, 1.7150, 1.3977, -1
-47.0836, -47.1048, -1.2668, -1.1048, -1
-47.5364, -47.5540, -1.0552, 1.4460, -1
-47.9891, -47.8778, 6.6748, 0.1222, -1
-48.4418, -48.4385, 0.1978, 1.5615, -1
-48.8945, -48.9434, -2.9338, 0.0566, -1
-49.3473, -49.3315, 0.9452, 1.6685, -1
-49.8000, -49.7761, 1.4345, 0.2239, -1
