11.7652 ,-5.5855 ,1.9175 ,77.1730 ,
2.8916 ,-3.0054 ,0.0450 ,87.2134 ,
0.9030 ,-8.0057 ,0.3019 ,73.1864 ,
11.8765 ,14.3963 ,1.5976 ,64.6768 ,
9.5564 ,30.3025 ,0.7256 ,22.5531 ,
2.8919 ,-2.9837 ,0.0432 ,87.5298 ,
0.9115 ,-5.7523 ,0.3057 ,70.6852 ,
9.9739 ,23.3152 ,0.2315 ,27.0865 ,
7.5722 ,31.8463 ,0.4724 ,36.3421 ,
6.7365 ,31.8481 ,0.2680 ,69.1432 ,
5.1446 ,14.9178 ,1.3505 ,72.5418 ,
4.3401 ,8.7071 ,0.4754 ,78.6759 ,
0.9707 ,-22.5775 ,0.0047 ,65.9133 ,
14.3191 ,-15.5493 ,0.7008 ,64.8800 ,
9.3934 ,-42.9560 ,0.5297 ,49.4385 ,
8.1337 ,-36.0761 ,0.9545 ,59.9331 ,
7.6112 ,-30.9211 ,1.2922 ,55.0835 ,
6.0078 ,-19.8633 ,1.3576 ,67.6194 ,
2.8919 ,-2.9334 ,0.0225 ,86.5266 ,
0.8994 ,-7.4859 ,0.3093 ,74.7005 ,
15.4273 ,-23.0599 ,0.1736 ,63.5757 ,
13.8324 ,-31.9980 ,5.5091 ,38.3841 ,
11.6954 ,-37.6274 ,1.3793 ,17.8166 ,
10.2329 ,-41.9117 ,0.2696 ,49.2598 ,
2.9181 ,-3.1158 ,0.1986 ,62.6720 ,
2.2483 ,22.6658 ,0.1234 ,31.0657 ,
1.1286 ,1.2737 ,0.0133 ,85.8887 ,
0.9378 ,-17.7064 ,0.2285 ,81.3585 ,
0.8582 ,15.6936 ,0.0055 ,77.2414 ,
14.2645 ,-8.4889 ,2.0194 ,73.8756 ,
2.9017 ,-3.7704 ,0.1026 ,73.5588 ,
0.8980 ,-7.1591 ,0.3092 ,74.4497 ,
19.4463 ,9.9631 ,0.3157 ,25.2556 ,
18.2031 ,11.4771 ,0.7438 ,28.2910 ,
16.2810 ,4.1355 ,0.0000 ,0.0000 ,
15.0426 ,4.2773 ,0.5847 ,76.2139 ,
2.9209 ,-4.3162 ,0.1950 ,73.4020 ,
