0.0332,  3.5222,  0.0334, -3.4368
0.0371,  2.8811,  0.0371,  24.1967
0.3379, -29.8165,  0.3376,  28.2551
0.3438, -29.8143,  0.3441,  26.6603
0.3496, -18.5693,  0.3497,  28.1714
0.0332,  4.1639,  0.0333, -3.5589
0.0371,  2.2421,  0.0372,  24.2750
0.3438, -26.1905,  0.3433,  25.4156
0.3906, -35.1278,  0.3906,  39.6284
0.7441, -37.5116,  0.7438,  35.6621
0.0332,  4.1639,  0.0333, -3.9626
0.3516, -25.4772,  0.3511,  29.0275
0.3574, -25.4792,  0.3574,  29.1210
0.7480, -32.8119,  0.7484,  31.1846
0.7695, -34.3511,  0.7692,  30.6216
0.0332,  2.8829,  0.0334, -2.9956
0.0371,  2.8811,  0.0372,  25.0536
0.0840, -32.0557,  0.0843, -37.9162
0.3516, -36.7089,  0.3525,  27.3321
0.3633, -42.5289,  0.3627,  29.3931
0.0332,  4.1639,  0.0333, -3.3509
0.0371,  3.4508,  0.0372,  24.2108
0.0449, -22.6742,  0.0447,  9.1771
0.0840, -32.8142,  0.0844, -37.8547
0.3555, -29.8165,  0.3552,  29.8445
0.0332,  2.2421,  0.0333, -3.6915
0.0371,  0.9612,  0.0372,  24.8219
0.0840,  39.1438,  0.0844, -37.3699
0.3574, -29.0813,  0.3578,  29.8685
0.4062, -29.0791,  0.4063,  30.2710
0.0332,  2.8811,  0.0333, -1.9953
0.0371,  2.2402,  0.0372,  25.1230
0.0840, -32.0534,  0.0839, -38.9772
0.1055, -24.0670,  0.1051,  18.1924
0.4102, -53.0220,  0.4103,  28.8882
0.0332,  4.1639,  0.0333,  0.3622
0.0371,  2.2421,  0.0377,  20.1571
0.0449, -24.0691,  0.0447,  8.1876
0.0840, -32.8119,  0.0840, -39.2697
0.0898, -33.5769,  0.0897,  20.8406
0.0332,  2.8811,  0.0333, -0.4063
0.0371,  0.9612,  0.0371,  23.5405
0.0449, -26.1884,  0.0447,  1.7013
0.0840, -32.0557,  0.0839, -38.3780
0.1328,  7.3815,  0.1324, -7.7253
0.0332,  2.2402,  0.0333,  0.7755
0.0371,  0.9612,  0.0377,  20.3182
0.0449, -23.3698,  0.0448,  2.2937
0.0840, -33.5769,  0.0839, -37.9162
0.4277, -32.0534,  0.4277,  32.3127
0.0332,  5.4488,  0.0333, -0.8533
0.0371,  3.5241,  0.0377,  20.4636
0.0449, -24.7722,  0.0447,  6.5473
0.0840, -32.0534,  0.0839, -39.1124
0.0898, -32.8142,  0.0895,  20.3002
0.0332,  4.8060,  0.0333,  0.3622
0.0371,  4.1639,  0.0376,  20.4413
0.0449, -25.4772,  0.0447,  3.3445
0.0840, -30.5571,  0.0840, -39.7649
0.0898, -33.5769,  0.0900,  23.4487
0.0332,  3.5222,  0.0333,  1.2606
0.0371,  2.6261,  0.0377,  20.3182
0.0449, -23.3698,  0.0447,  4.6931
0.0840, -34.3488,  0.0839, -38.8937
0.4414, -35.1301,  0.4414,  34.1923
