-0.141196, -0.143024, -0.211099
-0.155605, -0.190207, -0.153169
-0.204421, -0.165346, -0.191581
-0.172707, -0.157476, -0.186591
-0.154296, -0.156707, -0.161211
-0.166577, -0.221511, -0.189966
-0.154221, -0.176581, -0.169667
-0.088037, -0.166310, -0.178700
-0.216154, -0.155376, -0.163028
-0.258220, -0.179512, -0.161471
-0.264348, -0.169016, -0.145911
-0.202723, -0.163931, -0.182869
0.001917, -0.193351, -0.188927
-0.059158, -0.159777, -0.183234
-0.145218, -0.181922, -0.169031
-0.322755, -0.162317, -0.181861
-0.271296, -0.157780, -0.114413
-0.098953, -0.206676, -0.136857
-0.130880, -0.122546, -0.197898
-0.144510, -0.185518, -0.184574
-0.152492, -0.148230, -0.125824
-0.122493, -0.214997, -0.162054
-0.076771, -0.201938, -0.199943
-0.143115, -0.227504, -0.127638
-0.454760, -0.181454, -0.200158
-0.482671, -0.197041, -0.192706
-0.226099, -0.133598, -0.137121
0.306877, -0.181844, -0.226878
0.392759, -0.141196, -0.203468
-0.171525, -0.155605, -0.167750
-0.886561, -0.204421, -0.049454
-0.880959, -0.172707, -0.127809
-0.154556, -0.154296, -0.129888
0.677965, -0.166577, -0.252458
0.711123, -0.154221, -0.277639
-0.153706, -0.088037, -0.144617
-1.016028, -0.216154, -0.100606
-0.990715, -0.258220, -0.075458
-0.132654, -0.264348, -0.179031
0.603287, -0.202723, -0.308240
0.543605, 0.001917, -0.296373
-0.144516, -0.059158, -0.222545
-0.709759, -0.145218, -0.115802
-0.690174, -0.322755, -0.090112
-0.116061, -0.271296, -0.171296
0.192124, -0.098953, -0.129320
0.093549, -0.130880, -0.055864
-0.194065, -0.144510, -0.134062
-0.275058, -0.152492, -0.425992
-0.218337, -0.122493, -0.514195
-0.145983, -0.076771, -0.129941
-0.209864, -0.143115, 0.325937
-0.286456, -0.454760, 0.369811
-0.187378, -0.482671, -0.172394
-0.041481, -0.226099, -0.898795
-0.042055, 0.306877, -0.880889
-0.153686, 0.392759, -0.159808
-0.305123, -0.171525, 0.650641
-0.276744, -0.886561, 0.659911
-0.176083, -0.880959, -0.173502
-0.050810, -0.154556, -1.074754
-0.071756, 0.677965, -1.017257
-0.172658, 0.711123, -0.153427
-0.286583, -0.153706, 0.562748
-0.204799, -1.016028, 0.500818
-0.161815, -0.990715, -0.143036
-0.194549, -0.132654, -0.715030
-0.153842, 0.603287, -0.639866
-0.171259, 0.543605, -0.157843
-0.176254, -0.144516, 0.192629
-0.153774, -0.709759, 0.060722
-0.146754, -0.690174, -0.194378
-0.119648, -0.116061, -0.274544
-0.164361, 0.192124, -0.219685
-0.152415, 0.093549, -0.221302
-0.158391, -0.194065, -0.233556
-0.139756, -0.275058, -0.258578
-0.226303, -0.218337, -0.163342
-0.188675, -0.145983, -0.005524
-0.142080, -0.209864, -0.033771
-0.154973, -0.286456, -0.169616
-0.172076, -0.187378, -0.228463
-0.142778, -0.041481, -0.341272
-0.161637, -0.042055, -0.164821
-0.146469, -0.153686, -0.041138
-0.210362, -0.305123, -0.083937
-0.128458, -0.276744, -0.183904
-0.180491, -0.176083, -0.301338
-0.195356, -0.050810, -0.296930
-0.203439, -0.071756, -0.151249
-0.141498, -0.172658, -0.167450
-0.188209, -0.286583, -0.139258
-0.159348, -0.204799, -0.127071
-0.131099, -0.161815, -0.171933
-0.186229, -0.194549, -0.187615
-0.158328, -0.153842, -0.159943
-0.164817, -0.171259, -0.179020
-0.189066, -0.176254, -0.195282
-0.205277, -0.153774, -0.177789
-0.174873, -0.146754, -0.172117
-0.142842, -0.119648, -0.177036
-0.184480, -0.164361, -0.180876
-0.206050, -0.152415, -0.136161
-0.137129, -0.158391, -0.129103
-0.208806, -0.139756, -0.213219
-0.196642, -0.226303, -0.191768
-0.190483, -0.188675, -0.167901
-0.223578, -0.142080, -0.122834
-0.142224, -0.154973, -0.184382
-0.197437, -0.172076, -0.183581
-0.169059, -0.142778, -0.161807
-0.118676, -0.161637, -0.229211
-0.159965, -0.146469, -0.143521
-0.177863, -0.210362, -0.187299
-0.146786, -0.128458, -0.198006
-0.095357, -0.180491, -0.156628
-0.143024, -0.195356, -0.201409
-0.190207, -0.203439, -0.182709
-0.165346, -0.141498, -0.140251
-0.157476, -0.188209, -0.187912
-0.156707, -0.159348, -0.231356
-0.221511, -0.131099, -0.196840
-0.176581, -0.186229, -0.184217
-0.166310, -0.158328, -0.154028
-0.155376, -0.164817, -0.108211
-0.179512, -0.189066, -0.149296
-0.169016, -0.205277, -0.224847
-0.163931, -0.174873, -0.151089
-0.193351, -0.142842, -0.144177
-0.159777, -0.184480, -0.175612
-0.181922, -0.206050, -0.151601
-0.162317, -0.137129, -0.160750
-0.157780, -0.208806, -0.146886
-0.206676, -0.196642, -0.135206
-0.122546, -0.190483, -0.171792
-0.185518, -0.223578, -0.204879
-0.148230, -0.142224, -0.136384
-0.214997, -0.197437, -0.131545
-0.201938, -0.169059, -0.177952
-0.227504, -0.118676, -0.162766
-0.181454, -0.159965, -0.162376
-0.197041, -0.177863, -0.160678
-0.133598, -0.146786, -0.239883
-0.181844, -0.095357, -0.235085
