15.0555 ,6.9390 ,1.3332 ,81.4389 ,
8.6192 ,-7.7175 ,0.1319 ,38.4825 ,
0.9707 ,15.4897 ,0.0023 ,71.3049 ,
15.0536 ,7.0124 ,1.3556 ,81.7168 ,
8.6181 ,-7.7176 ,0.1400 ,41.4911 ,
0.9701 ,15.7718 ,0.0040 ,69.9434 ,
15.0545 ,7.0096 ,1.3502 ,81.6552 ,
8.6196 ,-7.8437 ,0.1437 ,43.3667 ,
0.9702 ,15.7356 ,0.0035 ,77.7798 ,
15.0539 ,7.0164 ,1.3507 ,81.7302 ,
8.6189 ,-7.7650 ,0.1353 ,39.6173 ,
0.9699 ,15.9611 ,0.0059 ,77.2443 ,
15.0483 ,7.1656 ,1.4127 ,82.5297 ,
8.6184 ,-7.6574 ,0.1446 ,42.9773 ,
0.9699 ,15.7433 ,0.0051 ,72.8214 ,
15.0541 ,6.9533 ,1.3481 ,81.6040 ,
8.6202 ,-7.7701 ,0.1415 ,42.7445 ,
0.9701 ,15.7463 ,0.0050 ,73.9533 ,
15.0561 ,6.9903 ,1.3274 ,81.4134 ,
8.6211 ,-7.7067 ,0.1384 ,42.2083 ,
0.9703 ,15.5974 ,0.0057 ,73.4919 ,
