0.0371,  15.8861,  0.0374, -15.5602
0.3281, -6.7383,  0.3288,  8.2872
0.3359, -6.7383,  0.3357,  7.3020
0.5684,  4.1639,  0.5690, -1.9576
0.5957,  5.4488,  0.5956, -11.5092
0.0371,  15.2236,  0.0374, -15.4708
0.3281, -6.7383,  0.3288,  8.2597
0.3359, -6.7383,  0.3357,  7.2535
0.5684,  2.2421,  0.5690, -1.9705
0.5957, -0.3192,  0.5956, -11.4021
0.0371,  15.2236,  0.0374, -15.7017
0.3281, -8.6745,  0.3287,  8.2742
0.3359, -8.0275,  0.3357,  7.0798
0.5684,  3.5222,  0.5690, -2.1405
0.5957,  12.5834,  0.5956, -11.2181
0.0371,  14.5611,  0.0374, -15.3968
0.3281, -8.0275,  0.3288,  8.1876
0.3359, -6.0941,  0.3357,  7.1582
0.5684,  3.5222,  0.5690, -1.9511
0.5957,  1.6016,  0.5956, -11.4511
0.0371,  15.8861,  0.0374, -15.1964
0.3281, -6.7383,  0.3288,  7.7213
0.3359, -6.0941,  0.3357,  7.0653
0.5684,  3.5222,  0.5690, -2.2705
0.5957,  4.1639,  0.5957, -11.0000
0.0371,  15.8861,  0.0374, -15.2205
0.3281, -6.7383,  0.3287,  8.4295
0.3359, -6.0941,  0.3357,  7.1791
0.5684,  2.2421,  0.5690, -2.0186
0.5957,  4.8079,  0.5957, -11.4471
0.0371,  16.5529,  0.0374, -15.5710
0.3281, -6.0941,  0.3288,  8.2151
0.3359, -7.3815,  0.3357,  7.2066
0.5684,  3.5222,  0.5690, -2.1341
0.5957,  0.9612,  0.5957, -11.6079
0.0371,  15.8861,  0.0374, -15.4466
0.3281, -6.7383,  0.3287,  8.8771
0.3359, -8.0275,  0.3357,  7.2236
0.5684,  1.5997,  0.5690, -2.2705
0.5957,  0.3210,  0.5956, -12.3459
0.0371,  15.8861,  0.0374, -15.5340
0.3281, -6.7383,  0.3289,  8.1706
0.3359, -6.7383,  0.3357,  6.9994
0.5684,  2.8829,  0.5690, -2.0394
0.5957,  2.2402,  0.5956, -11.8412
0.0371,  13.9007,  0.0374, -15.5057
0.3281, -6.7383,  0.3288,  8.5672
0.3359, -6.7383,  0.3357,  7.0124
0.5684,  3.5222,  0.5690, -2.0523
0.5957,  2.2421,  0.5956, -11.9764
0.0371,  15.8861,  0.0374, -15.5752
0.3281, -7.3834,  0.3287,  8.3849
0.3359, -8.6745,  0.3357,  7.3505
